Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ME 6311,ADVANCED STRUCTURAL DYNAMICS.  3 Hours,[None],[None],required
ME 6314,FRACTURE MECHANICS.  3 Hours,[None],[None],required
ME 6315,ADVANCED COMPOSITES.  3 Hours,[None],[None],required
ME 6337,ADVANCED ROBOTICS.  3 Hours,[None],[None],required
ME 6344,HEAT TRANSFER IN TURBULENT FLOW.  3 Hours,[None],[None],required
ME 6397,RESEARCH IN MECHANICAL ENGINEERING.  3 Hours,[None],[None],required
ME 6399,DISSERTATION.  3 Hours,[None],[None],required
ME 6697,RESEARCH IN MECHANICAL ENGINEERING.  6 Hours,[None],[None],required
ME 6699,DISSERTATION.  6 Hours,[None],[None],required
ME 6997,RESEARCH IN MECHANICAL ENGINEERING.  9 Hours,[None],[None],required
ME 6999,DISSERTATION.  9 Hours,[None],[None],required
ME 7399,DOCTORAL DEGREE COMPLETION.  3 Hours,[None],[None],required
