Formal Name,Course Name,Prerequisites,Corequisites,Requirement
BE 5314,BIOMEDICAL IMPLANTS.  3 Hours,[None],[None],required
BE 5315,FUNDAMENTALS OF BIOMOLECULAR ENGINEERING.  3 Hours,[None],[None],required
BE 5316,FUNDAMENTAL MATH AND PHYSICS FOR BIOENGINEERING.  3 Hours,[None],[None],required
BE 5318,MEDICAL DEVICE PROTOTYPING.  3 Hours,[None],[None],required
BE 5323,INTRODUCTION TO BIOPHOTONICS.  3 Hours,[None],[None],required
BE 5324,BIOMEDICAL OPTICS LABORATORY.  3 Hours,[None],[None],required
BE 5325,FLUORESCENCE MICROSCOPY.  3 Hours,[None],[None],required
BE 5326,TISSUE ULTRASOUND OPTICAL IMAGING.  3 Hours,[None],[None],required
BE 5327,TISSUE OPTICS.  3 Hours,[None],[None],required
BE 5329,NEURAL ENGINEERING.  3 Hours,[None],[None],required
BE 5331,POLYMERS AND BIOCOMPATIBILITY.  3 Hours,[None],[None],required
BE 5333,NANO BIOMATERIALS AND LIVING-SYSTEMS INTERACTIONS.  3 Hours,[None],[None],required
BE 5335,"BIOLOGICAL MATERIALS, MECHANICS, & PROCESSES.  3 Hours",[None],[None],required
BE 5337,TRANSPORT PHENOMENA IN BIOMEDICAL ENGINEERING.  3 Hours,[None],[None],required
BE 5340,FINITE ELEMENT APPLICATIONS IN BIOENGINEERING.  3 Hours,[None],[None],required
BE 5343,IMAGE PROCESSING WITH MATLAB: APPLICATIONS IN MEDICINE AND BIOLOGY.  3 Hours,[None],[None],required
BE 5344,BIOINSTRUMENTATION I.  3 Hours,[None],[None],required
BE 5345,BIOSENSOR.  3 Hours,[None],[None],required
BE 5346,MEDICAL IMAGING.  3 Hours,[None],[None],required
BE 5347,PRINCIPLES OF FUNCTIONAL MAGNETIC RESONANCE IMAGING.  3 Hours,[None],[None],required
BE 5350,MODELING AND CONTROL OF BIOLOGICAL SYSTEMS.  3 Hours,[None],[None],required
BE 5352,DIGITAL PROCESSING OF BIOLOGICAL SIGNALS.  3 Hours,[None],[None],required
BE 5360,DESIGN AND APPLICATION OF ARTIFICIAL ORGANS.  3 Hours,[None],[None],required
BE 5361,BIOMATERIALS AND BLOOD COMPATIBILITY.  3 Hours,[None],[None],required
BE 5364,TISSUE ENGINEERING.  3 Hours,[None],[None],required
BE 5365,TISSUE ENGINEERING LAB.  3 Hours,[None],[None],required
BE 5366,PROCESS CONTROL IN BIOTECHNOLOGY.  3 Hours,[None],[None],required
BE 5370,BIOMATERIAL - LIVING SYSTEMS INTERACTION.  3 Hours,[None],[None],required
BE 5372,DRUG DELIVERY SYSTEM.  3 Hours,[None],[None],required
BE 5373,FORMULATION AND CHARACTERIZATION OF DRUG DELIVERY SYSTEMS.  3 Hours,[None],[None],required
BE 5382,LABORATORY PRINCIPLES.  3 Hours,[None],[None],required
BE 5385,STEM CELL TISSUE ENGINEERING.  3 Hours,[None],[None],required
BE 5386,MEDICAL PRODUCT DESIGN CONTROL AND RISK MANAGEMENT.  3 Hours,[None],[None],required
BE 5387,MEDICAL DEVICE PROTOTYPE DEVELOPMENT.  3 Hours,[None],[None],required
BE 5388,MEDICAL PRODUCT DESIGN AND DEVELOPMENT.  3 Hours,[None],[None],required
BE 5390,RESEARCH PROJECT.  3 Hours,[None],[None],required
BE 5391,DIRECTED RESEARCH IN BIOENGINEERING.  3 Hours,[None],[None],required
BE 5395,INTERNSHIP IN BIOENGINEERING.  3 Hours,[None],[None],required
BE 5398,THESIS.  3 Hours,[None],[None],required
BE 5691,DIRECTED RESEARCH IN BIOENGINEERING.  6 Hours,[None],[None],required
BE 5698,THESIS.  6 Hours,[None],[None],required
BE 6101,PhD SEMINAR IN BIOENGINEERING.  1 Hour,[None],[None],required
BE 6102,PhD SEMINAR IN BIOENGINEERING.  1 Hour,[None],[None],required
BE 6103,PhD SEMINAR IN BIOENGINEERING.  1 Hour,[None],[None],required
BE 6194,DOCTORAL DIAGNOSTIC EXAMINATION.  1 Hour,[None],[None],required
BE 6195,DOCTORAL COMPREHENSIVE EXAMINATION.  1 Hour,[None],[None],required
BE 6197,RESEARCH IN BIOENGINEERING.  1 Hour,[None],[None],required
BE 6297,RESEARCH IN BIOENGINEERING.  2 Hours,[None],[None],required
BE 6395,INTERNSHIP IN BIOENGINEERING.  3 Hours,[None],[None],required
BE 6397,RESEARCH IN BIOENGINEERING.  3 Hours,[None],[None],required
BE 6399,DISSERTATION.  3 Hours,[None],[None],required
BE 6499,DISSERTATION.  4 Hours,[None],[None],required
BE 6695,INTERNSHIP IN BIOENGINEERING.  6 Hours,[None],[None],required
BE 6697,RESEARCH IN BIOENGINEERING.  6 Hours,[None],[None],required
BE 6699,DISSERTATION.  6 Hours,[None],[None],required
BE 6995,INTERNSHIP IN BIOENGINEERING.  9 Hours,[None],[None],required
BE 6997,RESEARCH IN BIOENGINEERING.  9 Hours,[None],[None],required
BE 6999,DISSERTATION.  9 Hours,[None],[None],required
BE 7399,DOCTORAL DEGREE COMPLETION.  3 Hours,[None],[None],required
